resource_id,compute_cost,storage_cost,data_transfer_cost,total_monthly_cost
res-000,139.41,25.75,17.93,183.09
res-001,151.33,44.9,37.41,233.64
res-002,179.73,10.92,5.66,209.574
res-003,114.43,30.06,10.7,155.19
res-004,128.96,23.75,10.67,163.38
res-005,87.36,19.76,15.44,122.56
res-006,30.32,11.63,5.88,47.83
res-007,47.628,5.03,2.7,61.541999999999994
res-008,42.85,8.76,2.36,53.97
res-009,34.31,5.82,4.45,44.58
res-010,25.85,6.11,2.22,34.18
res-011,90.16,13.33,6.2,109.69
res-012,66.08,24.46,13.91,104.45
res-013,191.56,12.49,21.28,225.33
res-014,159.17,27.37,12.42,198.96
res-015,74.808,10.76,6.28,105.48
res-016,260.66,21.23,15.53,297.42
res-017,62.65,7.63,6.69,76.97
res-018,126.05,30.34,8.15,164.54
res-019,147.58,38.65,27.75,213.98
res-020,89.22,21.89,11.19,122.3
res-021,307.1,23.4,12.0,342.5
res-022,60.58,9.35,6.03,75.96
res-023,28.99,11.5,6.63,47.12
res-024,34.7,7.06,3.42,45.18
res-025,94.97,17.65,14.99,127.61
res-026,34.8,5.55,2.07,42.42
res-027,287.4,45.89,16.64,349.93
res-028,135.91,35.93,11.91,183.75
res-029,20.12,2.61,1.94,24.67
res-030,78.14,24.45,6.61,109.2
res-031,177.17,14.08,22.32,213.57
res-032,83.76,20.01,6.66,110.43
res-033,126.13,14.06,16.43,156.62
res-034,121.35,32.45,9.27,163.07
