source,target
res-000,res-002
res-000,res-004
res-001,res-008
res-001,res-021
res-002,res-023
res-002,res-000
res-003,res-021
res-003,res-008
res-004,res-000
res-004,res-023
res-005,res-012
res-005,res-032
res-006,res-023
res-006,res-004
res-007,res-009
res-008,res-003
res-008,res-021
res-009,res-007
res-010,res-027
res-010,res-025
res-011,res-034
res-012,res-032
res-012,res-005
res-013,res-000
res-013,res-023
res-014,res-024
res-014,res-020
res-015,res-033
res-015,res-016
res-016,res-015
res-016,res-030
res-017,res-026
res-017,res-029
res-018,res-026
res-018,res-031
res-019,res-023
res-019,res-006
res-020,res-024
res-020,res-022
res-021,res-001
res-021,res-008
res-022,res-024
res-022,res-020
res-023,res-000
res-023,res-019
res-024,res-014
res-024,res-020
res-025,res-027
res-025,res-010
res-026,res-018
res-026,res-017
res-027,res-010
res-027,res-025
res-028,res-021
res-028,res-008
res-029,res-017
res-029,res-026
res-030,res-015
res-030,res-033
res-031,res-026
res-031,res-017
res-032,res-012
res-032,res-005
res-033,res-015
res-033,res-030
res-034,res-011
res-001,res-032
res-007,res-002
res-010,res-012
res-015,res-029
res-024,res-023
res-027,res-002
