resource_id,type,vpc,subnet,is_public
res-000,EC2,Shared-Services,Shar-subnet-1,False
res-001,RDS,Production,Prod-subnet-1,False
res-002,LoadBalancer,Shared-Services,Shar-subnet-1,True
res-003,EC2,Production,Prod-subnet-1,False
res-004,LoadBalancer,Shared-Services,Shar-subnet-1,False
res-005,LoadBalancer,Shared-Services,Shar-subnet-2,False
res-006,S3,Shared-Services,Shar-subnet-1,False
res-007,Lambda,Production,Prod-subnet-2,True
res-008,S3,Production,Prod-subnet-1,True
res-009,S3,Production,Prod-subnet-2,False
res-010,Lambda,Production,Prod-subnet-3,True
res-011,EC2,Staging,Stag-subnet-3,False
res-012,LoadBalancer,Shared-Services,Shar-subnet-2,False
res-013,EC2,Shared-Services,Shar-subnet-1,False
res-014,EC2,Staging,Stag-subnet-1,False
res-015,S3,Staging,Stag-subnet-2,True
res-016,RDS,Staging,Stag-subnet-2,False
res-017,S3,Shared-Services,Shar-subnet-3,False
res-018,EC2,Shared-Services,Shar-subnet-3,False
res-019,RDS,Shared-Services,Shar-subnet-1,False
res-020,LoadBalancer,Staging,Stag-subnet-1,False
res-021,RDS,Production,Prod-subnet-1,False
res-022,S3,Staging,Stag-subnet-1,False
res-023,S3,Shared-Services,Shar-subnet-1,False
res-024,Lambda,Staging,Stag-subnet-1,False
res-025,LoadBalancer,Production,Prod-subnet-3,False
res-026,Lambda,Shared-Services,Shar-subnet-3,False
res-027,RDS,Production,Prod-subnet-3,False
res-028,EC2,Production,Prod-subnet-1,False
res-029,Lambda,Shared-Services,Shar-subnet-3,True
res-030,LoadBalancer,Staging,Stag-subnet-2,False
res-031,EC2,Shared-Services,Shar-subnet-3,False
res-032,LoadBalancer,Shared-Services,Shar-subnet-2,False
res-033,EC2,Staging,Stag-subnet-2,False
res-034,EC2,Staging,Stag-subnet-3,False
