resource_id,type,vpc,subnet,is_public,vulnerability_score,blast_radius_score,trend_slope,trend_label,forecast_30d_anomaly_score,current_anomaly_score,total_monthly_cost,trend_multiplier,composite_risk_score,risk_score_0_100,high_risk_high_cost_flag
res-000,EC2,Shared-Services,Shar-subnet-1,False,15.0,80.95,0.003,flat,11.37,13.5,183.09,1.0,12.14,10.93,False
res-001,RDS,Production,Prod-subnet-1,False,15.0,50.79,0.0117,flat,10.65,12.82,233.64,1.0,7.62,6.86,False
res-002,LoadBalancer,Shared-Services,Shar-subnet-1,True,99.99,88.89,0.1973,rising,38.81,32.62,209.574,1.25,111.1,100.0,True
res-003,EC2,Production,Prod-subnet-1,False,33.33,31.75,-0.0102,flat,6.46,6.77,155.19,1.0,10.58,9.52,False
res-004,LoadBalancer,Shared-Services,Shar-subnet-1,False,18.33,63.49,-0.0041,flat,13.19,11.02,163.38,1.0,11.64,10.48,False
res-005,LoadBalancer,Shared-Services,Shar-subnet-2,False,43.33,41.27,-0.2344,improving,2.81,9.44,122.56,0.8,14.31,12.88,False
res-006,S3,Shared-Services,Shar-subnet-1,False,18.33,63.49,-0.0002,flat,15.48,16.55,47.83,1.0,11.64,10.48,False
res-007,Lambda,Production,Prod-subnet-2,True,99.99,55.56,0.1976,rising,35.67,36.59,61.542,1.25,69.44,62.5,False
res-008,S3,Production,Prod-subnet-1,True,26.66,49.21,-0.0007,flat,4.52,5.92,53.97,1.0,13.12,11.81,False
res-009,S3,Production,Prod-subnet-2,False,10.0,23.81,0.0114,flat,4.66,4.63,44.58,1.0,2.38,2.14,False
res-010,Lambda,Production,Prod-subnet-3,True,30.0,55.56,0.0094,flat,14.7,14.8,34.18,1.0,16.67,15.0,False
res-011,EC2,Staging,Stag-subnet-3,False,18.33,9.52,-0.2493,improving,0.92,8.87,109.69,0.8,1.4,1.26,False
res-012,LoadBalancer,Shared-Services,Shar-subnet-2,False,30.0,52.38,-0.0082,flat,9.33,6.26,104.45,1.0,15.71,14.14,False
res-013,EC2,Shared-Services,Shar-subnet-1,False,31.66,58.73,-0.006,flat,10.57,14.29,225.33,1.0,18.59,16.73,True
res-014,EC2,Staging,Stag-subnet-1,False,19.99,47.62,0.0086,flat,10.47,11.11,198.96,1.0,9.52,8.57,False
res-015,S3,Staging,Stag-subnet-2,True,99.99,53.97,0.1968,rising,37.91,35.45,105.48,1.25,67.46,60.72,False
res-016,RDS,Staging,Stag-subnet-2,False,49.99,34.92,-0.0024,flat,11.41,8.44,297.42,1.0,17.46,15.72,True
res-017,S3,Shared-Services,Shar-subnet-3,False,0.0,47.62,-0.0069,flat,9.98,16.04,76.97,1.0,0.0,0.0,False
res-018,EC2,Shared-Services,Shar-subnet-3,False,24.99,31.75,0.0019,flat,13.23,8.97,164.54,1.0,7.93,7.14,False
res-019,RDS,Shared-Services,Shar-subnet-1,False,15.0,58.73,0.0106,flat,8.56,7.11,213.98,1.0,8.81,7.93,False
res-020,LoadBalancer,Staging,Stag-subnet-1,False,10.0,52.38,0.0079,flat,13.72,14.21,122.3,1.0,5.24,4.72,False
res-021,RDS,Production,Prod-subnet-1,False,34.99,49.21,-0.0114,flat,12.52,11.44,342.5,1.0,17.22,15.5,True
res-022,S3,Staging,Stag-subnet-1,False,9.99,47.62,0.0119,flat,11.44,13.43,75.96,1.0,4.76,4.28,False
res-023,S3,Shared-Services,Shar-subnet-1,False,24.99,100.0,-0.0217,flat,9.23,9.07,47.12,1.0,24.99,22.49,False
res-024,Lambda,Staging,Stag-subnet-1,False,15.0,73.02,0.0009,flat,12.65,11.95,45.18,1.0,10.95,9.86,False
res-025,LoadBalancer,Production,Prod-subnet-3,False,15.0,44.44,0.0013,flat,6.79,2.98,127.61,1.0,6.67,6.0,False
res-026,Lambda,Shared-Services,Shar-subnet-3,False,3.33,52.38,0.0075,flat,5.34,3.49,42.42,1.0,1.74,1.57,False
res-027,RDS,Production,Prod-subnet-3,False,3.33,73.02,-0.0028,flat,6.03,7.46,349.93,1.0,2.43,2.19,False
res-028,EC2,Production,Prod-subnet-1,False,3.33,31.75,-0.0028,flat,6.02,10.27,183.75,1.0,1.06,0.95,False
res-029,Lambda,Shared-Services,Shar-subnet-3,True,26.66,52.38,-0.2458,improving,0.0,2.19,24.67,0.8,11.17,10.05,False
res-030,LoadBalancer,Staging,Stag-subnet-2,False,21.66,39.68,-0.001,flat,6.66,7.79,109.2,1.0,8.59,7.73,False
res-031,EC2,Shared-Services,Shar-subnet-3,False,3.33,36.51,-0.0002,flat,10.33,10.34,213.57,1.0,1.22,1.1,False
res-032,LoadBalancer,Shared-Services,Shar-subnet-2,False,3.33,55.56,0.0012,flat,3.64,5.73,110.43,1.0,1.85,1.67,False
res-033,EC2,Staging,Stag-subnet-2,False,13.33,34.92,-0.234,improving,0.0,5.21,156.62,0.8,3.72,3.35,False
res-034,EC2,Staging,Stag-subnet-3,False,21.66,9.52,0.0021,flat,8.02,12.68,163.07,1.0,2.06,1.85,False
